,Month,food_conflicts,result
115,Spring,"queso fresco, unpasteurized, milk, whole milk unpasteurized",52 illness 30 Hospitalizations 0 Deaths 
116,Spring,"salsa, tomatillo, pork, carnitas",52 illness 0 Hospitalizations 0 Deaths 
117,Spring,"batch egg, cheese, chicken, sandwich, spaghetti",64 illness 0 Hospitalizations 0 Deaths 
118,Spring,"turkey, coleslaw, cabbage, carrots, sour cream, mayonnaise",66 illness 0 Hospitalizations 0 Deaths 
119,Spring,"bread, wheat, swiss cheese, pasteurized",14 illness 0 Hospitalizations 0 Deaths 
120,Spring,"taco, fish, mahi mahi",4 illness 0 Hospitalizations 0 Deaths 
121,Spring,"chicken, beef, brisket, sausage, beans, rice",24 illness 4 Hospitalizations 0 Deaths 
122,Spring,"salad, cheese, lettuce, tomatoes, red round",110 illness 0 Hospitalizations 0 Deaths 
123,Spring,"chicken, beef, rice",16 illness 0 Hospitalizations 0 Deaths 
124,Summer,"sandwich, deli meat, sliced ham",50 illness 4 Hospitalizations 0 Deaths 
125,Spring,"chicken, noodles, rice, fried rice",64 illness 0 Hospitalizations 0 Deaths 
126,Spring,"beef, potato, au gratin",64 illness 0 Hospitalizations 0 Deaths 
127,Spring,"ham, ice cream, homemade, stuffing, dressing, pie, peach, coconut cream",54 illness 2 Hospitalizations 0 Deaths 
128,Summer,"falafel, chick peas, egg, eggplant",60 illness 0 Hospitalizations 0 Deaths 
129,Spring,"shrimp, steamed, ice, ice cream, commercial",56 illness 0 Hospitalizations 0 Deaths 
130,Summer,"crab, soup, gazpacho, tomato",18 illness 0 Hospitalizations 0 Deaths 
131,Summer,"rice dishes, rice, white",14 illness 2 Hospitalizations 0 Deaths 
132,Summer,"pork, tripe, potato, rice, corn, guinea pig",238 illness 22 Hospitalizations 0 Deaths 
133,Summer,"steak, mashed potato, gravy, caesar salad",8 illness 0 Hospitalizations 0 Deaths 
134,Summer,"sushi, rice, salmon heads, tuna",20 illness 0 Hospitalizations 0 Deaths 
135,Summer,"seal, oil, muktuk",4 illness 4 Hospitalizations 0 Deaths 
136,Autumn,"chicken, curry, spinach, white rice",14 illness 0 Hospitalizations 0 Deaths 
137,Autumn,"salad, vegetable tray, cheese dish, dips, fruit",68 illness 0 Hospitalizations 0 Deaths 
138,Autumn,"red beans, rice, chicken, grilled, brat",44 illness 0 Hospitalizations 0 Deaths 
139,Summer,"green beans, macaroni, cheese",76 illness 60 Hospitalizations 0 Deaths 
140,Autumn,"ham, beef, stroganoff, gravy",26 illness 0 Hospitalizations 0 Deaths 
141,Autumn,"[""hors doeuvres"", water, ice",68 illness 0 Hospitalizations 0 Deaths 
142,Autumn&Spring&Autumn&Winter,"milk, unpasteurized, whole milk unpasteurized",56 illness 17 Hospitalizations 0 Deaths 
143,Autumn,"italian submarine sandwich, bread, white, ham, salami, pork, pepperroni",8 illness 0 Hospitalizations 0 Deaths 
144,Autumn,"black bean casserole, rice, black beans, long grain",38 illness 0 Hospitalizations 0 Deaths 
145,Winter,"relish tray, bread, baguette, cheese, fruit, olives, pickles",18 illness 0 Hospitalizations 0 Deaths 
146,Autumn,"turkey, stuffing, potato, mashed",30 illness 0 Hospitalizations 0 Deaths 
147,Autumn,"ground beef, hamburger, caesar dressing, egg",4 illness 0 Hospitalizations 0 Deaths 
148,Summer,"chicken wrap, prepackaged leafy greens, lettuce",30 illness 20 Hospitalizations 0 Deaths 
149,Winter&Autumn,"spaghetti w, meat sauce, cheese",296 illness 50 Hospitalizations 0 Deaths 
150,Autumn,"turkey, stuffing, gravy, chicken",28 illness 0 Hospitalizations 0 Deaths 
151,Winter,"fish hot pot, beef lung in chili sauce, pork kidney, chicken dish",86 illness 2 Hospitalizations 0 Deaths 
152,Autumn,"chicken, fajita, beef, steak",28 illness 12 Hospitalizations 2 Deaths 
153,Winter,"pork, shrimp, fried",10 illness 0 Hospitalizations 0 Deaths 
154,Autumn,"thai chicken lettuce wrap, salad, chicken, grilled, egg",124 illness 4 Hospitalizations 0 Deaths 
155,Winter,"chicken, fried, broccoli, rice",12 illness 0 Hospitalizations 0 Deaths 
156,Winter,"sandwich, ham, bread",28 illness 0 Hospitalizations 0 Deaths 
157,Summer,"sushi, raw, fish, tuna",38 illness 2 Hospitalizations 0 Deaths 
158,Summer,"chicken, teriyaki, shrimp, rice",4 illness 0 Hospitalizations 0 Deaths 
159,Winter,"salad, carrots, cucumber, peppers, green, tomato",88 illness 0 Hospitalizations 0 Deaths 
160,Summer,"oysters, raw, clams, steamed",20 illness 2 Hospitalizations 0 Deaths 
161,Summer,"oysters, raw, clams",115 illness 0 Hospitalizations 0 Deaths 
162,Spring,"beef(fresly killed cow), raw and, or undercooked, beef",274 illness 12 Hospitalizations 0 Deaths 
163,Spring,"hot dog, hamburger, bun, onions",16 illness 0 Hospitalizations 0 Deaths 
164,Spring,"beef, laab raw, boiled beef",50 illness 4 Hospitalizations 0 Deaths 
165,Spring,"dairy, queso fresco, unpasteurized, milk",4 illness 0 Hospitalizations 0 Deaths 
166,Spring,"lettuce, tomatoes, tomato",14 illness 0 Hospitalizations 0 Deaths 
167,Spring,"beef, bbq, chicken, pie, pecan",6 illness 0 Hospitalizations 0 Deaths 
168,Spring,"beef, brisket, ribs, smoked sausage, chicken",10 illness 0 Hospitalizations 0 Deaths 
